ID	名字	类型	品质	属性类型	属性值	随机属性概率1	随机属性概率2	随机属性概率3	随机属性概率4	随机属性概率5	随机属性概率6	随机属性概率7	随机属性概率8	空行
42	精•双股剑+5	1	45	1	356	0.3	0.4	0.2	0.1	0	0	0	0	
48	精•龙鳞刀+5	1	45	1	580	0.3	0.4	0.2	0.1	0	0	0	0	
54	精•黄金戟+5	1	45	1	456	0.3	0.4	0.2	0.1	0	0	0	0	
114	精•银麟铠甲+5	2	45	2	5060	0.3	0.4	0.2	0.1	0	0	0	0	
120	精•龙鳞头盔+5	3	45	3	384	0.3	0.4	0.2	0.1	0	0	0	0	
126	精•沧月项链+5	4	45	4	590	0.3	0.4	0.2	0.1	0	0	0	0	
601	精•双股剑+6	1	46	1	1510	0.3	0.4	0.2	0.1	0	0	0	0	
602	精•龙鳞刀+6	1	46	1	2260	0.3	0.4	0.2	0.1	0	0	0	0	
603	精•黄金戟+6	1	46	1	1950	0.3	0.4	0.2	0.1	0	0	0	0	
604	精•银麟铠甲+6	2	46	2	20670	0.3	0.4	0.2	0.1	0	0	0	0	
605	精•龙鳞头盔+6	3	46	3	2190	0.3	0.4	0.2	0.1	0	0	0	0	
606	精•沧月项链+6	4	46	4	2500	0.3	0.4	0.2	0.1	0	0	0	0	
607	精•双股剑+7	1	47	1	1730	0.3	0.4	0.2	0.1	0	0	0	0	
608	精•龙鳞刀+7	1	47	1	2590	0.3	0.4	0.2	0.1	0	0	0	0	
609	精•黄金戟+7	1	47	1	2250	0.3	0.4	0.2	0.1	0	0	0	0	
610	精•银麟铠甲+7	2	47	2	23770	0.3	0.4	0.2	0.1	0	0	0	0	
611	精•龙鳞头盔+7	3	47	3	2520	0.3	0.4	0.2	0.1	0	0	0	0	
612	精•沧月项链+7	4	47	4	2880	0.3	0.4	0.2	0.1	0	0	0	0	
55	倚天剑	1	50	1	482	0	0.37	0.4	0.2	0.02	0.01	0	0	
61	古锭刀	1	50	1	786	0	0.37	0.4	0.2	0.02	0.01	0	0	
67	月牙戟	1	50	1	620	0	0.37	0.4	0.2	0.02	0.01	0	0	
127	玄武铠甲	2	50	2	6588	0	0.37	0.4	0.2	0.02	0.01	0	0	
133	朱雀头盔	3	50	3	514	0	0.37	0.4	0.2	0.02	0.01	0	0	
139	麒麟项链	4	50	4	812	0	0.37	0.4	0.2	0.02	0.01	0	0	
56	倚天剑+1	1	51	1	562	0	0.37	0.4	0.2	0.02	0.01	0	0	
62	古锭刀+1	1	51	1	914	0	0.37	0.4	0.2	0.02	0.01	0	0	
68	月牙戟+1	1	51	1	720	0	0.37	0.4	0.2	0.02	0.01	0	0	
128	玄武铠甲+1	2	51	2	7660	0	0.37	0.4	0.2	0.02	0.01	0	0	
134	朱雀头盔+1	3	51	3	598	0	0.37	0.4	0.2	0.02	0.01	0	0	
140	麒麟项链+1	4	51	4	944	0	0.37	0.4	0.2	0.02	0.01	0	0	
57	倚天剑+2	1	52	1	630	0	0.37	0.4	0.2	0.02	0.01	0	0	
63	古锭刀+2	1	52	1	1026	0	0.37	0.4	0.2	0.02	0.01	0	0	
69	月牙戟+2	1	52	1	808	0	0.37	0.4	0.2	0.02	0.01	0	0	
129	玄武铠甲+2	2	52	2	8618	0	0.37	0.4	0.2	0.02	0.01	0	0	
135	朱雀头盔+2	3	52	3	674	0	0.37	0.4	0.2	0.02	0.01	0	0	
141	麒麟项链+2	4	52	4	1062	0	0.37	0.4	0.2	0.02	0.01	0	0	
58	倚天剑+3	1	53	1	724	0	0.37	0.4	0.2	0.02	0.01	0	0	
64	古锭刀+3	1	53	1	1178	0	0.37	0.4	0.2	0.02	0.01	0	0	
70	月牙戟+3	1	53	1	928	0	0.37	0.4	0.2	0.02	0.01	0	0	
130	玄武铠甲+3	2	53	2	9896	0	0.37	0.4	0.2	0.02	0.01	0	0	
136	朱雀头盔+3	3	53	3	772	0	0.37	0.4	0.2	0.02	0.01	0	0	
142	麒麟项链+3	4	53	4	1220	0	0.37	0.4	0.2	0.02	0.01	0	0	
59	倚天剑+4	1	54	1	830	0	0.37	0.4	0.2	0.02	0.01	0	0	
65	古锭刀+4	1	54	1	1352	0	0.37	0.4	0.2	0.02	0.01	0	0	
71	月牙戟+4	1	54	1	1064	0	0.37	0.4	0.2	0.02	0.01	0	0	
131	玄武铠甲+4	2	54	2	11332	0	0.37	0.4	0.2	0.02	0.01	0	0	
137	朱雀头盔+4	3	54	3	884	0	0.37	0.4	0.2	0.02	0.01	0	0	
143	麒麟项链+4	4	54	4	1398	0	0.37	0.4	0.2	0.02	0.01	0	0	
60	倚天剑+5	1	55	1	934	0	0.37	0.4	0.2	0.02	0.01	0	0	
66	古锭刀+5	1	55	1	1522	0	0.37	0.4	0.2	0.02	0.01	0	0	
72	月牙戟+5	1	55	1	1198	0	0.37	0.4	0.2	0.02	0.01	0	0	
132	玄武铠甲+5	2	55	2	12768	0	0.37	0.4	0.2	0.02	0.01	0	0	
138	朱雀头盔+5	3	55	3	996	0	0.37	0.4	0.2	0.02	0.01	0	0	
144	麒麟项链+5	4	55	4	1574	0	0.37	0.4	0.2	0.02	0.01	0	0	
701	倚天剑+6	1	56	1	3730	0	0.37	0.4	0.2	0.02	0.01	0	0	
702	古锭刀+6	1	56	1	5620	0	0.37	0.4	0.2	0.02	0.01	0	0	
703	月牙戟+6	1	56	1	4830	0	0.37	0.4	0.2	0.02	0.01	0	0	
704	玄武铠甲+6	2	56	2	51300	0	0.37	0.4	0.2	0.02	0.01	0	0	
705	朱雀头盔+6	3	56	3	5410	0	0.37	0.4	0.2	0.02	0.01	0	0	
706	麒麟项链+6	4	56	4	6240	0	0.37	0.4	0.2	0.02	0.01	0	0	
707	倚天剑+7	1	57	1	4120	0	0.37	0.4	0.2	0.02	0.01	0	0	
708	古锭刀+7	1	57	1	6220	0	0.37	0.4	0.2	0.02	0.01	0	0	
709	月牙戟+7	1	57	1	5340	0	0.37	0.4	0.2	0.02	0.01	0	0	
710	玄武铠甲+7	2	57	2	56730	0	0.37	0.4	0.2	0.02	0.01	0	0	
711	朱雀头盔+7	3	57	3	5980	0	0.37	0.4	0.2	0.02	0.01	0	0	
712	麒麟项链+7	4	57	4	6910	0	0.37	0.4	0.2	0.02	0.01	0	0	
713	倚天剑+8	1	58	1	4550	0	0.37	0.4	0.2	0.02	0.01	0	0	
714	古锭刀+8	1	58	1	6870	0	0.37	0.4	0.2	0.02	0.01	0	0	
715	月牙戟+8	1	58	1	5900	0	0.37	0.4	0.2	0.02	0.01	0	0	
716	玄武铠甲+8	2	58	2	62650	0	0.37	0.4	0.2	0.02	0.01	0	0	
717	朱雀头盔+8	3	58	3	6600	0	0.37	0.4	0.2	0.02	0.01	0	0	
718	麒麟项链+8	4	58	4	7640	0	0.37	0.4	0.2	0.02	0.01	0	0	
719	倚天剑+9	1	59	1	5020	0	0.37	0.4	0.2	0.02	0.01	0	0	
720	古锭刀+9	1	59	1	7560	0	0.37	0.4	0.2	0.02	0.01	0	0	
721	月牙戟+9	1	59	1	6510	0	0.37	0.4	0.2	0.02	0.01	0	0	
722	玄武铠甲+9	2	59	2	69100	0	0.37	0.4	0.2	0.02	0.01	0	0	
723	朱雀头盔+9	3	59	3	7270	0	0.37	0.4	0.2	0.02	0.01	0	0	
724	麒麟项链+9	4	59	4	8440	0	0.37	0.4	0.2	0.02	0.01	0	0	
145	战神头盔	3	60	3	1120	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
151	麒麟铠甲	2	60	2	14300	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
157	贪狼魔刀	1	60	1	1690	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
163	紫薇护符	4	60	4	1850	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
146	战神头盔+1	3	61	3	1260	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
152	麒麟铠甲+1	2	61	2	16150	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
158	贪狼魔刀+1	1	61	1	1915	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
164	紫薇护符+1	4	61	4	2140	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
147	战神头盔+2	3	62	3	1430	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
153	麒麟铠甲+2	2	62	2	18250	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
159	贪狼魔刀+2	1	62	1	2160	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
165	紫薇护符+2	4	62	4	2490	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
148	战神头盔+3	3	63	3	1610	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
154	麒麟铠甲+3	2	63	2	20630	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
160	贪狼魔刀+3	1	63	1	2450	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
166	紫薇护符+3	4	63	4	2880	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
149	战神头盔+4	3	64	3	1820	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
155	麒麟铠甲+4	2	64	2	23310	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
161	贪狼魔刀+4	1	64	1	2760	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
167	紫薇护符+4	4	64	4	3340	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
150	战神头盔+5	3	65	3	2060	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
156	麒麟铠甲+5	2	65	2	26340	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
162	贪狼魔刀+5	1	65	1	3120	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
168	紫薇护符+5	4	65	4	3880	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
169	战神头盔+6	3	66	3	2400	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
173	麒麟铠甲+6	2	66	2	30810	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
177	贪狼魔刀+6	1	66	1	3650	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
181	紫薇护符+6	4	66	4	4540	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
170	战神头盔+7	3	67	3	2800	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
174	麒麟铠甲+7	2	67	2	36040	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
178	贪狼魔刀+7	1	67	1	4270	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
182	紫薇护符+7	4	67	4	5310	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
171	战神头盔+8	3	68	3	3270	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
175	麒麟铠甲+8	2	68	2	42160	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
179	贪狼魔刀+8	1	68	1	4990	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
183	紫薇护符+8	4	68	4	6210	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
172	战神头盔+9	3	69	3	3820	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
176	麒麟铠甲+9	2	69	2	49320	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
180	贪狼魔刀+9	1	69	1	5840	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
184	紫薇护符+9	4	69	4	7260	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1101	王者战盔	3	50	3	4760	0	0.37	0.4	0.2	0.02	0.01	0	0	
1102	王者铠甲	2	50	2	45330	0	0.37	0.4	0.2	0.02	0.01	0	0	
1103	王者之剑	1	50	1	4990	0	0.37	0.4	0.2	0.02	0.01	0	0	
1104	王者护符	4	50	4	5540	0	0.37	0.4	0.2	0.02	0.01	0	0	
1105	王者战盔+1	3	51	3	5200	0	0.37	0.4	0.2	0.02	0.01	0	0	
1106	王者铠甲+1	2	51	2	49470	0	0.37	0.4	0.2	0.02	0.01	0	0	
1107	王者之剑+1	1	51	1	5450	0	0.37	0.4	0.2	0.02	0.01	0	0	
1108	王者护符+1	4	51	4	6060	0	0.37	0.4	0.2	0.02	0.01	0	0	
1109	王者战盔+2	3	52	3	5676	0	0.37	0.4	0.2	0.02	0.01	0	0	
1110	王者铠甲+2	2	52	2	54230	0	0.37	0.4	0.2	0.02	0.01	0	0	
1111	王者之剑+2	1	52	1	5970	0	0.37	0.4	0.2	0.02	0.01	0	0	
1112	王者护符+2	4	52	4	6630	0	0.37	0.4	0.2	0.02	0.01	0	0	
1113	王者战盔+3	3	53	3	6220	0	0.37	0.4	0.2	0.02	0.01	0	0	
1114	王者铠甲+3	2	53	2	59120	0	0.37	0.4	0.2	0.02	0.01	0	0	
1115	王者之剑+3	1	53	1	6540	0	0.37	0.4	0.2	0.02	0.01	0	0	
1116	王者护符+3	4	53	4	7270	0	0.37	0.4	0.2	0.02	0.01	0	0	
1117	王者战盔+4	3	54	3	7060	0	0.37	0.4	0.2	0.02	0.01	0	0	
1118	王者铠甲+4	2	54	2	67050	0	0.37	0.4	0.2	0.02	0.01	0	0	
1119	王者之剑+4	1	54	1	7430	0	0.37	0.4	0.2	0.02	0.01	0	0	
1120	王者护符+4	4	54	4	8250	0	0.37	0.4	0.2	0.02	0.01	0	0	
1121	王者战盔+5	3	55	3	7770	0	0.37	0.4	0.2	0.02	0.01	0	0	
1122	王者铠甲+5	2	55	2	73780	0	0.37	0.4	0.2	0.02	0.01	0	0	
1123	王者之剑+5	1	55	1	8190	0	0.37	0.4	0.2	0.02	0.01	0	0	
1124	王者护符+5	4	55	4	9100	0	0.37	0.4	0.2	0.02	0.01	0	0	
1125	王者战盔+6	3	56	3	8580	0	0.37	0.4	0.2	0.02	0.01	0	0	
1126	王者铠甲+6	2	56	2	81400	0	0.37	0.4	0.2	0.02	0.01	0	0	
1127	王者之剑+6	1	56	1	9050	0	0.37	0.4	0.2	0.02	0.01	0	0	
1128	王者护符+6	4	56	4	10050	0	0.37	0.4	0.2	0.02	0.01	0	0	
1129	王者战盔+7	3	57	3	9490	0	0.37	0.4	0.2	0.02	0.01	0	0	
1130	王者铠甲+7	2	57	2	89970	0	0.37	0.4	0.2	0.02	0.01	0	0	
1131	王者之剑+7	1	57	1	10020	0	0.37	0.4	0.2	0.02	0.01	0	0	
1132	王者护符+7	4	57	4	11130	0	0.37	0.4	0.2	0.02	0.01	0	0	
1133	王者战盔+8	3	58	3	10520	0	0.37	0.4	0.2	0.02	0.01	0	0	
1134	王者铠甲+8	2	58	2	99680	0	0.37	0.4	0.2	0.02	0.01	0	0	
1135	王者之剑+8	1	58	1	11120	0	0.37	0.4	0.2	0.02	0.01	0	0	
1136	王者护符+8	4	58	4	12350	0	0.37	0.4	0.2	0.02	0.01	0	0	
1137	王者战盔+9	3	59	3	11680	0	0.37	0.4	0.2	0.02	0.01	0	0	
1138	王者铠甲+9	2	59	2	110640	0	0.37	0.4	0.2	0.02	0.01	0	0	
1139	王者之剑+9	1	59	1	12370	0	0.37	0.4	0.2	0.02	0.01	0	0	
1140	王者护符+9	4	59	4	13740	0	0.37	0.4	0.2	0.02	0.01	0	0	
1201	帝王战盔	3	60	3	12380	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1202	帝王铠甲	2	60	2	117860	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1203	帝王之剑	1	60	1	12980	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1204	帝王护符	4	60	4	14410	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1205	帝王战盔+1	3	61	3	13520	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1206	帝王铠甲+1	2	61	2	128630	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1207	帝王之剑+1	1	61	1	14170	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1208	帝王护符+1	4	61	4	15760	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1209	帝王战盔+2	3	62	3	14760	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1210	帝王铠甲+2	2	62	2	141000	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1211	帝王之剑+2	1	62	1	15520	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1212	帝王护符+2	4	62	4	17240	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1213	帝王战盔+3	3	63	3	16180	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1214	帝王铠甲+3	2	63	2	153720	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1215	帝王之剑+3	1	63	1	17000	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1216	帝王护符+3	4	63	4	18900	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1217	帝王战盔+4	3	64	3	18360	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1218	帝王铠甲+4	2	64	2	174330	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1219	帝王之剑+4	1	64	1	19320	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1220	帝王护符+4	4	64	4	21450	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1221	帝王战盔+5	3	65	3	20200	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1222	帝王铠甲+5	2	65	2	191830	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1223	帝王之剑+5	1	65	1	21300	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1224	帝王护符+5	4	65	4	23660	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1225	帝王战盔+6	3	66	3	22300	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1226	帝王铠甲+6	2	66	2	211640	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1227	帝王之剑+6	1	66	1	23530	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1228	帝王护符+6	4	66	4	26130	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1229	帝王战盔+7	3	67	3	24674	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1230	帝王铠甲+7	2	67	2	233930	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1231	帝王之剑+7	1	67	1	26060	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1232	帝王护符+7	4	67	4	28940	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1233	帝王战盔+8	3	68	3	27360	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1234	帝王铠甲+8	2	68	2	259170	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1235	帝王之剑+8	1	68	1	28920	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1236	帝王护符+8	4	68	4	32110	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1237	帝王战盔+9	3	69	3	30370	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1238	帝王铠甲+9	2	69	2	287670	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1239	帝王之剑+9	1	69	1	32170	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
1240	帝王护符+9	4	69	4	35730	0	0	0.4	0.35	0.2	0.03	0.01	0.01	
10001	红折扇	1	50	1	1	0.1	0.3	0.4	0.2	0	0	0	0	
10002	红折扇+1	1	51	1	2	0.1	0.3	0.4	0.2	0	0	0	0	
10003	橙折扇	1	60	1	2	0	0	0.6	0.3	0.1	0	0	0	
10004	橙折扇+1	1	61	1	3	0	0	0.6	0.3	0.1	0	0	0	
