ID	姓名	是否掉落	掉落章节	副本类型	掉落描述1	掉落描述2	掉落描述3	掉落描述4	掉落描述5	掉落描述6	空行
113	孫堅				招募中抽取獲得	商城中購買獲得					
114	貂蟬(幻）	1	2	2	招募中抽取獲得	商城中購買獲得					
115	祝融(幻)				招募中抽取獲得	商城中購買獲得					
116	小喬(幻)	1	5	2	招募中抽取獲得	商城中購買獲得					
117	張飛(幻)	1	6	2	招募中抽取獲得	商城中購買獲得					
118	孫尚香(幻)	1	1	2	招募中抽取獲得	商城中購買獲得					
119	劉備(幻)	1	11	2	招募中抽取獲得	商城中購買獲得					
120	諸葛亮(幻)				公會商店購買獲得						
121	呂玲綺(幻)	1	17	2	招募中抽取獲得	商城中購買獲得					
122	夏侯惇(幻)	1	10	2	招募中抽取獲得	商城中購買獲得					
123	甄姬(幻)				英雄試練中獲得						
124	蔡文姬(幻)	1	7	2	招募中抽取獲得	商城中購買獲得					
125	周瑜(幻)				VIP7以上可在特殊商店中購買						
126	張遼(幻)	1	22	2	招募中抽取獲得	商城中購買獲得					
127	關羽(幻)				招募中抽取獲得	商城中購買獲得					
128	曹操(幻)	1	12	2	招募中抽取獲得	商城中購買獲得					
129	趙雲(幻)				英雄試練中獲得						
130	呂布(幻)				VIP12以上可在特殊商店中購買						
131	孫權(幻)	1	13	2	招募中抽取獲得	商城中購買獲得					
132	陸遜(現)	1	9	2	招募中抽取獲得	商城中購買獲得					
133	丁奉(現)	1	24	2	招募中抽取獲得	商城中購買獲得					
134	郭嘉(現)				英雄試練中獲得						
135	曹仁(現)	1	3	2	招募中抽取獲得	商城中購買獲得					
136	於吉(現)	1	8	2	招募中抽取獲得	商城中購買獲得					
137	左慈(現)				英雄試練中獲得						
138	關銀屏(現)	1	4	2	招募中抽取獲得	商城中購買獲得					
139	黃月英(現)	1	23	2	招募中抽取獲得	商城中購買獲得					
