小关卡id	小关卡标题	小关卡对话	每日最多	前置完成关卡	等级限制	每次扣除体力	武魂	铜钱奖励	未过回复次数	奖励道具	士兵分布图	主将ID	主将等级	主将阶级	副将1ID	副将1等级	副将1阶级	副将2ID	副将2等级	副将2阶级	步兵1ID	步兵1等级	骑兵2ID	骑兵2等级	弓兵3ID	弓兵3等级	士兵数量等级	特殊增益比例	精英副本增益比例	未过返还体力	主角经验Exp	公会掉落	空行
20	第十關	17,18	99	2,9	1,999	5	23	290	1	7,1,1,100,1,15,1,1,80,1,28,4,1,50,1,43,4,1,35,1,15,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	02-10.tmx	90011	53	3	7	53	3	1	53	3	1101	3	2101	3	3101	3	1	0	0.3	5	540		
21	第一關	19	99	2,10	1,999	5	26	300	1	8,1,1,100,1,16,1,1,80,1,12,4,1,50,1,43,4,1,35,1,16,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	03-01.tmx	14	69	3	14	69	3	15	69	3	1101	3	2101	3	3101	3	1	0	0.3	5	550		
22	第二關	20	99	3,1	1,999	5	26	310	1	9,1,1,100,1,17,1,1,80,1,29,4,1,50,1,43,4,1,35,1,17,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	03-02.tmx	90012	60	3	15	60	3	16	60	3	1101	3	2101	3	3101	3	11	0	0.3	5	560		
23	第三關	0	99	3,2	1,999	5	26	320	1	10,1,1,100,1,18,1,1,80,1,28,4,1,50,1,43,4,1,35,1,18,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	03-03.tmx	31	54	3	16	54	3	17	54	3	1101	3	2101	3	3101	3	11	0	0.3	5	580		
24	第四關	0	99	3,3	1,999	5	26	330	1	11,1,1,100,1,19,1,1,80,1,12,4,1,50,1,43,4,1,35,1,19,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	03-04.tmx	29	57	3	17	57	3	18	57	3	1101	3	2101	3	3101	3	11	0	0.3	5	600		
25	第五關	21,22	99	3,4	1,999	5	26	340	1	12,1,1,100,1,20,1,1,80,1,29,4,1,50,1,43,4,1,35,1,20,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	03-05.tmx	90012	67	3	18	67	3	19	67	3	1101	3	2101	3	3101	3	11	0	0.3	5	620		
26	第六關	0	99	3,5	1,999	5	26	350	1	13,1,1,100,1,21,1,1,80,1,28,4,1,50,1,43,4,1,35,1,21,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	03-06.tmx	14	91	3	19	91	3	20	91	3	1101	4	2101	4	3101	4	11	0	0.3	5	640		
27	第七關	23	99	3,6	1,999	5	26	360	1	1,1,1,100,1,22,1,1,80,1,12,4,1,50,1,43,4,1,35,1,22,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	03-07.tmx	19	85	3	20	85	3	21	85	3	1101	4	2101	4	3101	4	11	0	0.3	5	660		
28	第八關	0	99	3,7	1,999	5	26	370	1	1,1,1,100,1,23,1,1,80,1,29,4,1,50,1,43,4,1,35,1,23,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	03-08.tmx	24	86	3	21	86	3	22	86	3	1101	4	2101	4	3101	4	11	0	0.3	5	680		
29	第九關	24	99	3,8	1,999	5	26	380	1	3,1,1,100,1,24,1,1,80,1,28,4,1,50,1,43,4,1,35,1,24,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	03-09.tmx	28	94	3	22	94	3	23	94	3	1101	4	2101	4	3101	4	11	0	0.3	5	700		
30	第十關	25,26	99	3,9	1,999	5	26	390	1	4,1,1,100,1,25,1,1,80,1,12,4,1,50,1,43,4,1,35,1,25,1,1,100,2,135,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	03-10.tmx	42	62	4	23	62	4	24	62	4	1101	4	2101	4	3101	4	11	0	0.3	5	720		
31	第一關	27	99	3,10	1,999	5	29	400	1	5,1,1,100,1,26,1,1,80,1,29,4,1,50,1,43,4,1,35,1,26,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	04-01.tmx	59	61	4	24	61	4	25	61	4	1101	4	2101	4	3101	4	20	0	0.3	5	740		
32	第二關	0	99	4,1	1,999	5	29	410	1	6,1,1,100,1,27,1,1,80,1,28,4,1,50,1,43,4,1,35,1,27,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	04-02.tmx	67	60	4	25	60	4	26	60	4	1101	4	2101	4	3101	4	20	0	0.3	5	760		
33	第三關	28	99	4,2	1,999	5	29	420	1	7,1,1,100,1,28,1,1,80,1,12,4,1,50,1,43,4,1,35,1,28,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	04-03.tmx	32	91	4	26	91	4	27	91	4	1101	4	2101	4	3101	4	20	0	0.3	5	780		
34	第四關	0	99	4,3	1,999	5	29	430	1	8,1,1,100,1,29,1,1,80,1,29,4,1,50,1,43,4,1,35,1,29,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	04-04.tmx	34	91	4	27	91	4	28	91	4	1101	4	2101	4	3101	4	20	0	0.3	5	800		
35	第五關	29,30	99	4,4	1,999	5	29	440	1	9,1,1,100,1,30,1,1,80,1,28,4,1,50,1,43,4,1,35,1,30,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	04-05.tmx	32	100	4	28	100	4	29	100	4	1101	4	2101	4	3101	4	20	0	0.3	5	820		
36	第六關	0	99	4,5	1,999	5	29	450	1	10,1,1,100,1,31,1,1,80,1,12,4,1,50,1,43,4,1,35,1,31,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	04-06.tmx	62	87	4	29	87	4	30	87	4	1101	5	2101	5	3101	5	20	0	0.3	5	840		
37	第七關	31,32	99	4,6	1,999	5	29	460	1	11,1,1,100,1,14,1,1,80,1,29,4,1,50,1,43,4,1,35,1,14,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	04-07.tmx	32	105	4	30	105	4	31	105	4	1101	5	2101	5	3101	5	20	0	0.3	5	860		
38	第八關	0	99	4,7	1,999	5	29	470	1	12,1,1,100,1,15,1,1,80,1,28,4,1,50,1,43,4,1,35,1,15,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	04-08.tmx	58	98	4	31	98	4	14	98	4	1101	5	2101	5	3101	5	20	0	0.3	5	880		
39	第九關	33	99	4,8	1,999	5	29	480	1	13,1,1,100,1,16,1,1,80,1,12,4,1,50,1,43,4,1,35,1,16,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	04-09.tmx	58	79	4	62	79	4	15	79	4	1101	5	2101	5	3101	5	20	0	0.3	5	900		
40	第十關	34,35	99	4,9	1,999	5	29	490	1	1,1,1,100,1,17,1,1,80,1,29,4,1,50,1,43,4,1,35,1,17,1,1,100,2,138,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	04-10.tmx	85	45	5	58	45	5	67	45	5	1101	5	2101	5	3101	5	20	0	0.3	5	920		
41	第一關	36	99	4,10	1,999	5	32	500	1	2,1,1,100,1,18,1,1,80,1,28,4,1,50,1,43,4,1,35,1,18,1,1,100,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	05-01.tmx	65	72	5	32	72	5	33	72	5	1101	5	2101	5	3101	5	20	0	0.3	5	940		
42	第二關	0	99	5,1	1,999	5	32	510	1	3,1,1,100,1,19,1,1,80,1,12,4,1,50,1,43,4,1,35,1,19,1,1,100,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	05-02.tmx	63	76	5	33	76	5	35	76	5	1101	5	2101	5	3101	5	20	0	0.3	5	960		
43	第三關	37	99	5,2	1,999	5	32	520	1	4,1,1,100,1,20,1,1,80,1,29,4,1,50,1,43,4,1,35,1,20,1,1,100,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	05-03.tmx	57	75	6	34	75	6	35	75	6	1101	5	2101	5	3101	5	20	0	0.3	5	980		
44	第四關	0	99	5,3	1,999	5	32	530	1	5,1,1,100,1,21,1,1,80,1,28,4,1,50,1,43,4,1,35,1,21,1,1,100,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	05-04.tmx	60	69	6	35	69	6	36	69	6	1101	6	2101	6	3101	6	20	0	0.3	5	1005		
45	第五關	38,39	99	5,4	1,999	5	32	540	1	6,1,1,100,1,22,1,1,80,1,12,4,1,50,1,43,4,1,35,1,47,4,1,60,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	05-05.tmx	57	72	6	36	72	6	37	72	6	1101	6	2101	6	3101	6	20	0	0.3	5	1040		
46	第六關	40	99	5,5	1,999	5	32	550	1	7,1,1,100,1,23,1,1,80,1,29,4,1,50,1,43,4,1,35,1,23,1,1,100,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	05-06.tmx	55	74	6	37	74	6	38	74	6	1101	6	2101	6	3101	6	20	0	0.3	5	1075		
47	第七關	0	99	5,6	1,999	5	32	560	1	8,1,1,100,1,24,1,1,80,1,28,4,1,50,1,43,4,1,35,1,24,1,1,100,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	05-07.tmx	69	79	6	38	79	6	39	79	6	1101	6	2101	6	3101	6	20	0	0.3	5	1110		
48	第八關	41	99	5,7	1,999	5	32	570	1	9,1,1,100,1,25,1,1,80,1,12,4,1,50,1,43,4,1,35,1,25,1,1,100,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	05-08.tmx	68	75	6	39	75	6	40	75	6	1101	6	2101	6	3101	6	20	0	0.3	5	1145		
49	第九關	0	99	5,8	1,999	5	32	580	1	10,1,1,100,1,26,1,1,80,1,29,4,1,50,1,43,4,1,35,1,26,1,1,100,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	05-09.tmx	41	67	6	55	67	6	63	67	6	1101	6	2101	6	3101	6	20	0	0.3	5	1180		
50	第十關	42,43	99	5,9	1,999	5	32	590	1	11,1,1,100,1,27,1,1,80,1,28,4,1,50,1,43,4,1,35,1,48,4,1,60,2,116,5,1,25,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	05-10.tmx	88	67	6	41	67	6	42	67	6	1101	7	2101	7	3101	7	20	0	0.3	5	1215		
51	第一關	44	99	5,10	1,999	5	35	600	1	11,1,1,100,1,28,1,1,80,1,12,4,1,50,1,43,4,1,35,1,28,1,1,100,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	06-01.tmx	81	63	7	42	63	7	43	63	7	1101	7	2101	7	3101	7	20	0	0.3	5	1250		
52	第二關	45	99	6,1	1,999	5	35	610	1	13,1,1,100,1,29,1,1,80,1,29,4,1,50,1,43,4,1,35,1,29,1,1,100,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	06-02.tmx	104	64	7	43	64	7	44	64	7	1101	7	2101	7	3101	7	20	0	0.3	5	1285		
53	第三關	0	99	6,2	1,999	5	35	620	1	1,1,1,100,1,30,1,1,80,1,28,4,1,50,1,43,4,1,35,1,30,1,1,100,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	06-03.tmx	112	67	7	44	67	7	45	67	7	1101	7	2101	7	3101	7	20	0	0.3	5	1320		
54	第四關	0	99	6,3	1,999	5	35	630	1	2,1,1,100,1,31,1,1,80,1,12,4,1,50,1,43,4,1,35,1,31,1,1,100,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	06-04.tmx	107	74	7	45	74	7	46	74	7	1101	7	2101	7	3101	7	20	0	0.3	5	1355		
55	第五關	46,47	99	6,4	1,999	5	35	640	1	3,1,1,100,1,14,1,1,80,1,29,4,1,50,1,43,4,1,35,1,47,4,1,60,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	06-05.tmx	81	88	7	46	88	7	32	88	7	1101	7	2101	7	3101	7	20	0	0.3	5	1390		
56	第六關	0	99	6,5	1,999	5	35	650	1	4,1,1,100,1,15,1,1,80,1,28,4,1,50,1,43,4,1,35,1,15,1,1,100,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	06-06.tmx	107	107	7	32	107	7	33	107	7	1101	8	2101	8	3101	8	20	0	0.3	5	1425		
57	第七關	48	99	6,6	1,999	5	35	660	1	5,1,1,100,1,16,1,1,80,1,12,4,1,50,1,43,4,1,35,1,16,1,1,100,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	06-07.tmx	112	108	7	33	108	7	34	108	7	1101	8	2101	8	3101	8	20	0	0.3	5	1460		
58	第八關	0	99	6,7	1,999	5	35	670	1	6,1,1,100,1,17,1,1,80,1,29,4,1,50,1,43,4,1,35,1,17,1,1,100,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	06-08.tmx	104	109	7	34	109	7	35	109	7	1101	8	2101	8	3101	8	20	0	0.3	5	1495		
59	第九關	49	99	6,8	1,999	5	35	680	1	7,1,1,100,1,18,1,1,80,1,28,4,1,50,1,43,4,1,35,1,18,1,1,100,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	06-09.tmx	81	86	8	43	86	8	36	86	8	1101	8	2101	8	3101	8	20	0	0.3	5	1530		
60	第十關	50,51	99	6,9	1,999	5	35	690	1	8,1,1,100,1,19,1,1,80,1,12,4,1,50,1,43,4,1,35,1,48,4,1,60,2,117,5,1,30,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	06-10.tmx	88	92	8	104	92	8	90013	92	8	1101	8	2101	8	3101	8	20	0	0.3	5	1565		
61	第一關	52	99	6,10	1,999	5	38	700	1	8,1,1,100,1,20,1,1,80,1,29,4,1,50,1,43,4,1,35,1,20,1,1,100,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	07-01.tmx	98	101	8	40	101	8	38	101	8	1101	8	2101	8	3101	8	20	0	0.3	5	1600	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
62	第二關	0	99	7,1	1,999	5	38	710	1	9,1,1,100,1,21,1,1,80,1,28,4,1,50,1,43,4,1,35,1,21,1,1,100,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	07-02.tmx	82	119	8	38	119	8	39	119	8	1101	9	2101	9	3101	9	20	0	0.3	5	1635	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
63	第三關	53	99	7,2	1,999	5	38	720	1	11,1,1,100,1,22,1,1,80,1,12,4,1,50,1,43,4,1,35,1,22,1,1,100,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	07-03.tmx	89	112	8	39	112	8	40	112	8	1101	9	2101	9	3101	9	20	0	0.3	5	1670	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
64	第四關	54	99	7,3	1,999	5	38	730	1	12,1,1,100,1,23,1,1,80,1,29,4,1,50,1,43,4,1,35,1,23,1,1,100,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	07-04.tmx	48	106	8	98	106	8	41	106	8	1101	9	2101	9	3101	9	20	0	0.3	5	1705	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
65	第五關	55,56	99	7,4	1,999	5	38	740	1	12,1,1,100,1,24,1,1,80,1,28,4,1,50,1,43,4,1,35,1,47,4,1,60,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	07-05.tmx	92	107	8	45	107	8	42	107	8	1101	9	2101	9	3101	9	20	0	0.3	5	1740	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
66	第六關	57	99	7,5	1,999	5	38	750	1	1,1,1,100,1,25,1,1,80,1,12,4,1,50,1,43,4,1,35,1,25,1,1,100,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	07-06.tmx	106	101	8	60	101	8	43	101	8	1101	9	2101	9	3101	9	20	0	0.3	5	1775	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
67	第七關	0	99	7,6	1,999	5	38	760	1	2,1,1,100,1,26,1,1,80,1,29,4,1,50,1,43,4,1,35,1,26,1,1,100,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	07-07.tmx	91	104	9	55	104	9	44	104	9	1101	9	2101	9	3101	9	20	0	0.3	5	1810	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
68	第八關	58	99	7,7	1,999	5	38	770	1	3,1,1,100,1,27,1,1,80,1,28,4,1,50,1,43,4,1,35,1,27,1,1,100,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	07-08.tmx	92	104	9	44	104	9	45	104	9	1101	10	2101	10	3101	10	20	0	0.3	5	1845	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
69	第九關	59	99	7,8	1,999	5	38	780	1	4,1,1,100,1,28,1,1,80,1,12,4,1,50,1,43,4,1,35,1,28,1,1,100,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	07-09.tmx	89	117	9	45	117	9	46	117	9	1101	10	2101	10	3101	10	20	0	0.3	5	1880	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
70	第十關	60,61	99	7,9	1,999	5	38	790	1	5,1,1,100,1,29,1,1,80,1,29,4,1,50,1,43,4,1,35,1,48,4,1,60,2,124,5,1,30,2,37,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	07-10.tmx	93	111	9	89	111	9	46	111	9	1101	10	2101	10	3101	10	20	0	0.3	5	1915	42,4,1,100,38,4,1,100,73,4,2,100,50,4,1,100	
71	第一關	62	99	7,10	1,999	5	42	800	1	6,1,1,100,1,30,1,1,80,1,19,4,1,12,1,43,4,1,35,1,30,1,1,100,2,136,5,1,30,2,37,4,1,8,2,4,4,1,30,2,19,4,1,25,2,43,4,1,35,2	08-01.tmx	87	116	9	55	116	9	57	116	9	1102	1	2102	1	3102	1	20	0	0.3	5	1950	42,4,1,100,38,4,1,100,73,4,2,100,50,4,2,100	
72	第二關	63	99	8,1	1,999	5	42	810	1	7,1,1,100,1,31,1,1,80,1,25,4,1,12,1,43,4,1,35,1,31,1,1,100,2,136,5,1,30,2,37,4,1,8,2,4,4,1,30,2,25,4,1,25,2,43,4,1,35,2	08-02.tmx	97	112	9	60	112	9	43	112	9	1102	1	2102	1	3102	1	20	0	0.3	5	1985	42,4,1,100,38,4,1,100,73,4,2,100,50,4,2,100	
