序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
10	1	90006	2	程遠志：沒想到我天公大軍，有神功護體，居然也會敗在你這樣的毛賊手裏	-1	1	我：大哥，什麼年代了，要相信科學...	90002	1	A將：請問主公什麼是科學?	-1	1	我：科學就是.....算了，馬上到涿郡，趕緊去找劉皇叔！										
11	0	-5	2	劉備：書上不是寫劉關張桃園三結義之後才搞定天下的麼？	-1	1	我：對啊，我們這不就是出發去找張飛麼？	-5	2	劉備：話說這個張飛這會還在老家殺豬吧	-1	1	我：這兒去他老家得多遠啊，一路上到處都是黃巾軍	90002	1	A將：主公，說好的榮華富貴呢？							
12	0	90008	2	高升：來者何人，可知吾乃天公將軍張角麾下！	-5	2	劉備：人家還木有打過仗，怕見血...	-1	1	我：怕見血？你每個月來大姨媽怎麼辦？	-5	2	劉備：......										
13	0	90009	2	土匪甲：此山是我開，此樹是我栽，要想此路過，留下買路財	-5	2	劉備：艾瑪，怎麼除了黃巾還有土土土土匪！	-1	1	我：黃巾都打過來了，還怕幾個區區小土匪？													
14	1	-5	2	劉備：親，找到了玉璽，皇帝應該就能給咱發獎金吧？	-1	1	我：拜託，你是劉備，你才是大哥！三國時代不就是靠打仗掙工資麼？	-5	2	劉備：就這麼瞎轉悠，也沒個手機地圖，怎麼找人啊！	-1	1	我：說到手機，我已經有好久都沒發過朋友圈了...										
15	0	-5	2	劉備：哎呀，倫家好開心，行動電話找到了也....	-1	1	我：我去，還有電麼？	90002	1	A將：主公不好了，前方有大批土匪殺來	-1	1	我：部隊列陣，準備迎敵	-5	2	劉備：先不要打，讓我拍一張嘛！	-1	1	我：......				
16	0	90010	2	土匪乙：最近有傳言說有股毛賊居然衝破我們大王布下的重重封鎖，想不到竟然就是你們。	-5	2	劉備：那當然了，我們人見人愛，花見花開嘛	90015	2	土匪：你以為就憑幾句花言巧語我就會讓你過去麼？	-1	1	我：喂....那個什麼劉備，光說有什麼用，露點事業線嘛！	-5	2	劉備：哎呀人家不好意思的啦	-1	1	我：你不在前面色誘，我怎麼從後面偷襲啊！真的要被你蠢哭了.				
17	0	90011	2	土匪頭目：我家大王早已料到你們會從此地經過，命布下重兵，爾等還不束手就擒	-5	2	劉備：等等，你老說你家大王大王的，到底是誰啊？	90015	2	土匪：我家大王就是威震涿郡十二縣的黑風小霸王張飛	-1	1	我：什麼？張飛？哎呀熟人啊，不用打了，我認識他！	90015	2	土匪：少廢話，趕緊納命來！							
18	1	-1	1	我：都說不用打了，你還非要跟我動刀動槍的	90011	2	土匪頭目：沒想到幾位如此年輕卻能征善戰，實在是佩服	-5	2	劉備：快，告訴我張飛在哪兒，等姑奶奶我日後發達了，給你買塊勞力士， 嘻嘻……	90015	2	土匪：列位稍候，我這就帶你們去見大王										
19	0	90002	1	A將：主公，洛陽已失，漢帝生死不明，我們該怎麼辦	-1	1	我：沒有皇帝誰給我們賞金封侯啊？聽我命令，殺往洛陽，先救出皇帝再說	-5	2	劉備：這亂世為了掙點兒錢，也是拼了...													
20	0	90012	2	黃巾精英士兵：天公將軍有令，洛陽即日起更名為神都，進出神都者必須皈依我太平道，否則格殺勿論！	-5	2	劉備：親，不是說好的宗教信仰自由麼？	-1	1	我：大哥，這是三國...你思維模式能轉轉不？	90012	2	黃巾精英士兵：廢話少說，如有不從，格殺勿論！										
21	0	90012	2	黃巾精英士兵：神都五步一崗十步一營，爾等鼠輩，插翅難飛。	-5	2	劉備：人多有什麼用？我家樓下跳廣場舞的大媽比你們還多幾倍呢！	-1	1	我：玄德姐，能不這麼逗比行麼？現在是打仗，要死人的啊	90012	2	黃巾精英士兵：休要多言，先收下你項上人頭再說										
22	1	90012	2	黃巾精英士兵：你們居然使詐，勝了我算什麼英雄好漢	-1	1	我：我本來就不是什麼英雄好漢，好端端的和一幫美女坐個電梯，duang的一下就被拖到這兒來，你以為我想跟你打仗啊？！	-5	2	劉備：就是就是，快說皇帝在哪兒，說了我好趕緊回去看《超級星光大道》啊	90012	2	黃巾精英士兵：要殺要剮，悉聽尊便，只是你們能說點兒我聽的懂的麼？										
23	0	90002	1	A將：主公，我們到洛陽這麼久，也不見皇帝蹤跡，會不會是被黃巾亂黨關押在某處了？	-1	1	我：此事極有可能，就是掘地三尺，也要把皇帝老兒給我找出來	-5	2	劉備：抓幾個黃巾，嚴刑拷打，捆綁滴蠟小皮鞭，我就不信他不招....嘿嘿	-1	1	我：好啊，你這麼有種，這幫黃巾軍就交給你了哦										
24	0	90002	1	A將：主公，末將抓了幾個舌頭，他們招供說皇帝已被秘密關押在洛陽的天牢裏。	-1	1	我：太好了，即刻啟程，先救漢帝	42	2	張苞：來者何人，想就這樣大搖大擺的從本將軍眼皮下走過去麼？													
25	0	-1	1	我：喂...對面的黃巾小兒聽著，趕緊把皇帝給我放了，爺爺我今天心情好，可饒你們不死。要是不放，休怪我刀下無情！	42	2	張苞：大膽狂徒，你當神都天牢是什麼地方，能讓你說來就來，說走就走麼？	-5	2	劉備：親們，抄家夥，姑奶奶我今天就要瀟灑走一回。													
26	1	42	2	張苞：自我隨天公將軍起事以來，破漢軍如砍瓜切菜，歷經大小二十一戰未敗，卻未曾想遇上你們這樣的對手。	-1	1	我：勝敗乃兵家常事，將軍也算忠義之人，只是何苦要參加黃巾，我這一路上見黃巾大軍多有燒殺劫掠的行徑，實在不該啊。	42	2	張苞：我追隨天公，本想舉義救助天下蒼生，沒想到軍中魚龍混雜，竟然做出不少傷天害理之事，真是一言難盡啊。	-5	2	劉備：這位大哥，我看你也是心善之人，現在就把皇帝放出來吧，也好給天下百姓一個交代	42	2	張苞：唉....							
27	0	-5	2	劉備：好不容易找到了皇帝，結果前有黃巾這只虎，後有董卓這匹狼，這日子還怎麼過啊	-1	1	我：唉，莫說賞金封侯，便是小命也難保了...	90002	1	A將：主公勿憂，待末將殺出一條血路來，我們就可以撤了。													
28	0	32	2	皇甫嵩：我黃巾三十萬大軍在此，爾等插翅難飛！	-1	1	我：告訴你，別把哥逼急了，哥急了，連哥自己都怕！	32	2	皇甫嵩：那我倒要領教領教！													
29	0	32	2	皇甫嵩：就你們這點兒兵馬，也敢與天公將軍為敵，真是不自量力！	-1	1	我：這廝這麼囂張，我得想辦法整整他	-5	2	劉備：親，我手機還有點電，等下你打他的時候，我就開閃光燈，亮瞎他的狗眼！	-1	1	我：此計甚妙，嘻嘻……										
30	1	32	2	皇甫嵩：你，你們居然使妖術勝我！如此卑鄙！	-1	1	我：你這山豬，吃不來細糠，我這是閃光燈，哪里是什麼妖術！出來混就要願賭服輸	32	2	皇甫嵩：就算你贏了我，後面還有我黃巾數十萬大軍，看你能得意到幾時!													
31	0	32	2	皇甫嵩：喲呵，居然讓你們這幫草寇都爬到本將軍座前了，也不知道前面幾位都是幹什麼吃的？總之，本將軍是不可能讓你活著走過去的！	-5	2	劉備：這樣吧，我問你個問題，若是你答對，我們便束手就擒，不費你一刀一槍，如何？	32	2	皇甫嵩：這也行，我追隨天公將軍多年，上知天文下知地理，三教九流無所不通，料你難不倒我！	-5	2	劉備：請問，你想怎麼死？	32	2	皇甫嵩：........妖孽，吃俺一刀							
32	1	-1	1	我：哇塞，沒看出來，你剛才居然屌屌的就把他搞瘋掉了耶	-5	2	劉備：我也是想激怒他，然後讓你好有機會偷襲一把	-1	1	我：你這麼沒節操，你媽造麼， 嘻嘻……													
33	0	90002	1	A將：主公，大事不好，西涼董卓的先頭部隊已經殺到了!	-1	1	我：董卓這個死胖子，難道是想和黃巾軍狼狽為奸麼？	90002	1	A將：主公對付黃巾即可，董卓反賊就交給末將了	-1	1	我：你太給力了，打完這仗，一定要給你漲工資啊										
34	0	85	2	董卓：西涼太守，前將軍董卓在此，還不速速交出天子，下馬受擒！	-5	2	劉備：親，這廝還真是個死胖子，和歷史書上寫的一樣。	-1	1	我：沒看到貂蟬呢？	-5	2	劉備：看到又怎樣，不見得比老娘好看到哪兒去！	-1	1	我：......董卓聽著，天子在我這兒，有本事的，就跟你爺爺我大戰三百回合，也好讓你減減肥！							
35	1	85	2	董卓：此戰暫且讓你贏一回合，我還有數萬西涼大軍在後，勢必要爾等交出天子	-1	1	我：我們費勁千辛萬苦才從黃巾手中救出天子，你說要就要啊？	85	2	董卓：什麼？你們也是來救天子的？	-5	2	劉備：親，他為什麼要說也？	-1	1	我：歷史書上不寫董卓是反賊麼？難道.....							
36	0	-1	1	我：話說穿越過來以後，三觀盡毀，董卓居然是靠譜好基友	-5	2	劉備：倫家還不成了劉皇叔啊，只要皇帝趕緊封賞，拿到錢就好	-1	1	我：唉，還是先想想怎麼收拾這眼前的黃巾大軍吧。													
37	0	57	2	高順：早就聽說有人從神都大牢裏劫走漢帝，一路闖關，居然就是你們這幾個黃口孺子？	-5	2	劉備：親，什麼是黃口孺子啊？	-1	1	我：尼瑪，黃口孺子都不知道，其實..我也不知道，不過高順這名字好熟悉的感覺，怎麼想不起來了呢？	-5	2	劉備：你一個人在嘰嘰歪歪幹嘛呢？	-1	1	我：我在說你長得漂亮呢。							
38	0	57	2	高順：而今天下已大半歸我黃巾，就憑你們幾個手上這點兵馬，莫說是綁個皇帝，就是綁個天王老子來，也無濟於事了。	-1	1	我：不知道董卓那邊怎麼樣了，現在黃巾軍風頭正勁，一副得了天下的口氣！	90002	1	A將：主公放心，前將軍董卓久居西涼，驍勇善戰，定能所向披靡	-5	2	劉備：為什麼你們說話都四個字，四個字的，感覺好厲害的樣子...										
39	1	57	2	高順：今日兵敗，要殺要剮，悉聽尊便！	-1	1	我：唉，在我們那個時代，殺人是犯法的，算了，我放你一馬。	57	2	高順：這位小將軍，為何不殺我這敗軍之將。	-5	2	劉備：嘻嘻……我們來只是求財，不是為了害命，你趕緊告訴我們接下來該怎麼走可以少打幾仗就好了。	57	2	高順：此去，東南方向十裏，有條山道，可出重圍。							
40	0	90012	2	黃巾精英士兵：來者何人？速速停下，不然萬箭齊發！	-5	2	劉備：那個沒良心的，不是說這路上沒有黃巾麼？早知道老娘就一刀閹了他！	-1	1	我：喂...我們是奉命押送皇帝老兒的，是自己人，你打開關隘，讓我們過去吧。	90012	2	黃巾精英士兵：我奉命把守此關，沒有天公將軍手諭，任何人不得從此通過！	-1	1	我：這附近有沒有刻章辦證的啊...又要開戰麼！！！							
41	0	-5	2	劉備：打打打，一路上不是我砍人，就是人砍我，這日子何時能是個頭啊	-1	1	我：知足吧，幸好有董卓在後面頂著，不然我們腹背受敵，早就被人剁成肉泥了。	-5	2	劉備：別人穿越都是後宮裏跟阿哥們在一起賞花賞月，老娘我穿越，天天都是殺人放火。	-1	1	我：你以為我想啊，你看，又有黃巾軍，準備好傢伙吧！										
42	0	88	2	張角：老夫料定你們今日會從此地經過，恭候諸位多時了。	-5	2	劉備：你是誰啊？	88	2	張角：我就是英俊瀟灑、風流倜儻外加法力無邊，人見人愛的天公大將軍張角也。	-5	2	劉備：又一個沒有按時吃藥的主兒...	-1	1	我：廢話那麼多，直接拼了							
43	1	88	2	張角：今日僥倖讓你們從老夫手下逃走，他日定要取你等性命！	-1	1	我：總算逃出黃巾的魔爪了，張角歐巴，我們後會有期啊！	-5	2	劉備：親，這下可以安排皇帝給我們賞金封地了吧。	-1	1	我：急什麼，先得把皇帝安排到一個安全的地方，從新建立朝廷才行啊。										
44	0	-5	2	劉備：親，我聽說那個傳國玉璽可值錢啦，要不咱們搞到手掛淘寶賣了吧！	-1	1	我：別做夢了行不，這是三國，哪兒來的淘寶，再說了，你沒聽那皇帝說的是重兵保護麼？	-5	2	劉備：唉，打了這麼久也沒見到一分錢，再這麼下去，誰還玩兒穿越啊。我就是月臺也有800一天嘛。	-1	1	我：別鬧，前面好像又有黃巾軍了！										
45	0	-5	2	劉備：親，我們這一路是往哪兒走啊？	-1	1	我：許昌啊，皇帝不是說玉璽在那兒麼。	-5	2	劉備：我感覺我自從跟了你，就一直不停的在跑路。這哪里是賞金封候啊，這分明是落草為寇啊...	-1	1	我：唉，世界那麼大，我想去看看...										
46	0	-5	2	劉備：親，你說這一路有啥土特產不？要不咱們買點兒帶著路上吃啊	-1	1	我：土特產就是黃巾軍。	-5	2	劉備：為啥？	-1	1	我：還問為啥，你沒看見對面黃燦燦的一片兒麼？	-5	2	劉備：姑奶奶的，抄家夥！這次不留活口！							
47	1	90002	1	A將：主公，這玉璽裏究竟有什麼秘密？為天子和黃巾都要爭奪它呢？	-1	1	我：我也不知道，但我總覺得現在所發生的一切，都和這個玉璽有著某種神秘的聯繫，也許找到了玉璽就能解釋為什麼我會穿越到這裏的原因了。	-5	2	劉備：是啊，我也好懷念每天早上起來刷朋友圈的日子...	90002	1	A將：什麼是LINE？	-5	2	劉備：額....							
48	0	-5	2	劉備：親，找到了玉璽，皇帝應該就能給咱發獎金吧？	-1	1	我：別說獎金，我這一路不停的打打殺殺的，連個加班工資都沒見到呢。	-5	2	劉備：所以跟對人很重要啊，皇帝這麼窮，我們不如轉投黃巾吧？嘻嘻……	-1	1	我：你一路上殺了那麼多黃巾軍，你說跳槽就跳槽啊？小心被抓去當慰安婦！										
49	0	-5	2	劉備：等到了許昌，能讓我先拿玉璽拍個照，發個臉書不？	-1	1	我：你醒醒吧，你那破手機還有電？這是三國，哪兒來的網路？	-5	2	劉備：唉，真是遺憾，這麼刺激的事情回去說了也沒人信，無圖無真相啊。	-1	1	我：就是有圖，人家也不信!我們還是趕緊找到玉璽，瞭解下這裏面到底有啥秘密吧。										
50	0	90013	2	張燕：蒼天已死，黃天當立，而今漢家氣數已盡，爾等何必再做掙扎，不如審時度勢，皈依我太平道門，追隨天公將軍，建功立業？	-1	1	我：怎麼黃巾軍都自我感覺這麼良好？歷史書上不是寫的他們沒多久就歇菜了麼？	-5	2	劉備：廢話少說，趕緊打開關口，讓老娘去許昌！	90013	2	張燕：既然如此，就休怪我無禮了！										
51	1	-5	2	劉備：累死了，這幫黃巾真能打，真是要了我的小命啊	-1	1	我：感覺張角把他的精銳都派出來追堵我們了。看來這個傳國玉璽對他而言，一定有非常重要的作用。	-5	2	劉備：難道裏面藏有葵花寶典？	-1	1	我：我暈，葵花寶典是明朝，我們在三國好不好！										
52	0	-5	2	劉備：這條路就是傳說中的官道，到許昌只有一百餘裏，相當近	-9	2	諸葛亮：主公，此路黃巾定有重兵把守，我知道一條山路，黃巾軍在那裏防守較為鬆懈。	-1	1	我：那就走敵人少的路吧。	-5	2	劉備：喲...果然是新人勝舊人啊										
53	0	-5	2	劉備：前面又有黃巾軍，我帶一支兵從側後偷襲如何？	-9	2	諸葛亮：玄德姐姐，這山路如此狹窄，請問哪里來的側後？	-5	2	劉備：怎麼你是純心跟我過不去麼？	-1	1	我：哎呀，二位姑娘息怒，我們應該合力殺敵才是嘛。										
54	0	48	2	夏侯霸：哪里來殘兵敗將，居然還帶著漂亮妞兒一起打仗？	-5	2	劉備：哎？是在說我們？喂...你們這些臭小子，看到姑奶奶嘴巴放乾淨點兒啊！	48	2	夏侯霸：不好意思啊大姐，我說的不是你，是你旁邊拿扇子那位姑娘...你要是也有興趣，就給爺做個二房吧，哈哈	-5	2	劉備：氣死我了，看我不殺了你們！										
55	0	-9	2	諸葛亮：主公.最近出現的黃巾獎勵貌似歷史上都不應該是黃巾軍，現在越來越不對了，我們還是小心點。	-5	2	劉備：喲喲喲，這話說的，好溫馨哦。親，不要聽諸葛亮說的，沒啥好怕的，我們三下五除二，搞定這幫黃巾山賊就是。	-1	1	我：玄德，你就木有發現現在出現的黃巾武將有點問題？	-5	2	劉備：哎呀，什麼問題，莫非都比前面的長大帥了些，看得人家有點小激動呢，這算莫？										
56	1	-9	2	諸葛亮：主公，前面山路崎嶇，兵士對地形不熟，恐有失策，請主公到我帳中一議。	-5	2	劉備：喂喂喂，大白天的就跟人混帳去了麼？幸好這還是在山裏，要是在城裏，你們是不是要去開房啊！	-1	1	我：玄德，你聽我說，我和諸葛亮是清白的....	-9	2	諸葛亮：前方戰事連連，還望姐姐以大局為重啊。										
57	0	-1	1	我：先說好啊，打仗歸打仗，私事歸私事。你們二位不要把情緒帶到工作中來嘛。劉姐姐，你尤其要注意哦	-5	2	劉備：當初叫人家來打黃巾的時候，叫我小甜甜，現在有了諸葛亮，新人勝舊人，居然叫我劉姐姐!	-1	1	我：大家現在都是一條船上的，不要這麼小氣嘛。滅了黃巾，有的是真金白銀。到時候，你看上誰，還不是小意思啦。	-9	2	諸葛亮：主公所言極是，我們還是先滅了黃巾亂黨，再考慮兒女私情吧。										
58	0	-5	2	劉備：這廝，成天就和新來的諸葛亮廝混在一起，讓老娘一個人領兵打頭陣，太無情無義了。	90002	1	A將：主公只是犯了一個正常男人都會犯的錯嘛	-5	2	劉備：咦？你也會說這麼有哲理的話？我好像在哪里聽過呢？	90002	1	A將：前方塵土飛揚，似有敵軍！	-5	2	劉備：騎兵隨我來！							
59	0	-1	1	我：果然臥龍先生不是浪得虛名的，這一路多虧有你才能順利至此	-9	2	諸葛亮：主公，抬愛了。臨近許昌，黃巾定會有重兵設防，主公不可大意哦。	-5	2	劉備：為毛他們兩個討論事情的時候，總感覺哪里沒對？	90002	1	A將：唉...日久生情啊										
60	0	-5	2	劉備：我剛才打聽過了。翻過這個隘口就是許昌了耶。	-9	2	諸葛亮：姐姐不可大意，張角老謀深算，關隘之處必然伏有重兵，不如我們從隘口側邊的小路過去	-5	2	劉備：我不管，老娘今天就要從條路上過，不然真累成狗了。	61	2	許褚：來者可是劉備？我奉天公將軍之命，在此恭候多時了！	-1	1	我：叫你別那麼任性啊！我去，許褚都反叛做黃巾軍，這下麻煩了							
61	1	-1	1	我：那個賣草鞋的劉玄德，你知不知道我們差點就被你埋這裏了。	-5	2	劉備：哎呀，有諸葛亮妹妹在，哪兒有打不勝的仗呢？你說是吧。	-9	2	諸葛亮：這個...眼看就要到許昌了，我們還是想想拿找到玉璽後下一步該怎麼辦吧。	-1	1	我：是啊，是啊，這個玄德看來還沒認識到問題的嚴重性，後面路不好走啊。										
62	0	93	2	曹操：各位，大事不好了！！黃巾軍不知道哪里搞來許多妖魔鬼怪，這會殺過來了。	-1	1	我：拜託，你不要講這些有的沒的，擾亂軍心好麼？	93	2	曹操：兄弟，那些黃巾將領貌似刀槍不入，我們死傷無數兄弟都不能阻擋，再不撤就來不及了。													
63	0	-1	1	我：這些黃巾軍是怎麼回事？比之前的難打多了？而且一個個都長的這麼奇怪？	-9	2	諸葛亮：怪事，怪事，士兵都是血肉之軀，怎會刀劈不壞，斧砍不動？	-5	2	劉備：我了腎，這些人長這麼醜，嚇死老娘了...哎呀，又來一群！													
64	0	93	2	曹操：這些傢夥太經打了，我們弟兄們傷亡很大，大家要早做打算啊！	-9	2	諸葛亮：對面的兵士聽著，你們是誰的手下？兩軍交戰，為何不報姓名？算什麼英雄好漢？	90014	2	黃巾：嗚.......	-9	2	諸葛亮：這些傢伙怎麼人話都不會說？										
65	1	-1	1	我：諸葛亮，你現在摸清這些傢伙的底細了麼？	-9	2	諸葛亮：這些兵士兩眼赤紅，四肢僵硬，蠻力驚人，且不懼傷痛，絕非正常人所能及。應該是中了張角的邪術後才變成這樣的。	-5	2	劉備：你的意思是，我們現在打的都是僵屍麼？	-9	2	諸葛亮：極有可能。										
66	0	-5	2	劉備：我不幹了，老娘不幹了，我寧可回去cj漏胸月臺，或者是去跳鋼管舞，也好過在這裏跟一群僵屍打打殺殺！	-1	1	我：親，大戰來臨，你怎麼能臨陣脫逃呢？	-5	2	劉備：什麼臨陣脫逃，難不成，你還要軍法處置我？別忘了我們幾個可都是21世紀的文明人。	-1	1	我：不是這個意思啦，只是你現在往哪兒跑呢？四周都是怪物？難道你想一個人在到處都是僵屍的森林裏散步？										
67	0	93	2	曹操：列位，我已經派輕騎打探過了，對方中軍大帳中為將者，身材高大，持方天畫戟，有可能是溫候呂布。	-1	1	我：什麼？呂布？不可能啊，他怎麼會和黃巾攪在一起？	93	2	曹操：這個....請問，什麼是攪在一起？	-1	1	我：額....我也是醉了										
68	0	-1	1	我：孟德兄，我們現在傷亡越來越大，你可有良策退敵？	93	2	曹操：先莫說退敵良策了，如果敵軍主帥真的是呂布，你我怕是有一張惡仗要打	-1	1	我：呂布...三國戰鬥力排名第一的猛將，媽呀，我會不會被他一刀劈了？	93	2	曹操：請問這個戰鬥力排名是個什麼東西？										
69	0	-9	2	諸葛亮：主公，陣前持方天畫戟的確認是呂布無疑。	93	2	曹操：溫候呂布，本來就天下無敵，此時不知是吃了什麼藥，更是力大驚人，我手下幾員戰將都被他連人帶馬劈成兩段！	-1	1	我：那些坑爹的穿越劇導演，這都誰說的穿越各種瀟灑的？我這趟怕是連小命都保不住了啊...	-9	2	諸葛亮：主公，此時我們唯有派兵佯攻拖住呂布，再伺機撤軍，不然就有全軍覆沒的危險。										
70	1	-1	1	我：孟德兄，現在我們只是暫時拖住了呂布，但是一旦黃巾軍追上來，我們可能真的無力再戰了	93	2	曹操：唉，我手下精銳也幾乎損失殆盡了	-9	2	諸葛亮：主公，我聽一位西川來的道士提起過，說張角有一種邪術，不僅可以攝人魂魄，還可讓人魔性大發，力大無窮。現在這個呂布，應該就是中了此術。邪術一旦消除，人也就平復如初。只是我一時找不到破解之法。	90002	1	A將：報，帳外有一婦人，披甲騎象，自稱南中大王孟獲的夫人，前來求見。										
71	0	-1	1	我：祝，祝，祝，夫人，張角用邪術把軍隊變成了僵屍，你，你，你可有良策？	-5	2	劉備：喂，你看到妹子說話都結巴了麼？	-10	2	祝融：大家不必多慮，只管上陣，我在陣後施法破它便是。													
72	0	-1	1	我：果然有美貌與智慧並存的祝夫人幫忙，黃巾軍好對付多了	-10	2	祝融：將軍過獎了。	-5	2	劉備：看吧，我就說他不靠譜，之前是諸葛亮，現在又是祝融...唉，男人都是這麼薄情啊	90002	1	A將：我們這裏，男人有三妻四妾很平常嘛。										
73	0	90014	2	黃巾：之前是怎麼回事？整個人都像在做夢一樣，只記得腦海裏有個聲音讓我們不停的殺人	-1	1	我：兄弟，你們中了張角的邪術，被他坑了，趕緊投誠到我這兒來吧，不要替那妖人賣命了。	90014	2	黃巾：大膽狂徒，竟敢出言不遜，辱我家天公將軍威名，納命來！													
74	1	-1	1	我：我去，怎麼一提張角的名字，這幫人瞬間就開啟狂暴模式呢？	-5	2	劉備：洗腦唄....咱麼不也有什麼xxx思想課程麼？	-10	2	祝融：大家也不要太大意，這些黃巾軍本身的戰鬥力就很強，即便沒有邪術也不可輕敵。我家大王就吃過他們的虧。													
75	0	-10	2	祝融：前面又有中邪的來了，看我施法破它！	90014	2	黃巾：唉，為什麼我們會在這裏？我們是怎麼來的，怎麼完全想不起來了呢？	-5	2	劉備：哈哈，那是因為你看到老娘後神魂顛倒，意亂情迷，來吃我一刀！													
76	0	-1	1	我：這南蠻的祝融夫人果然厲害啊，而且才貌雙全，和我在三國演義裏讀到不一樣啊， 嘻嘻……	-5	2	劉備：喲，原來是喜歡女王範兒啊	-9	2	諸葛亮：你小心被孟獲發現了，割了你的小丁丁	-1	1	我：我只是說有她在，打黃巾比較方便嘛，不廢話了，準備開戰！										
77	0	86	2	呂布：我乃天公將軍帳下第一先鋒——呂奉先也，今天就算你是玉帝下凡，也要先問過我手中的方天畫戟！	-1	1	我：好霸氣！	-5	2	劉備：好man！	-9	2	諸葛亮：顏值爆表啊親！	-10	2	祝融：諸位小心，這呂布身上的邪術還沒有解除完全，他現在是半人半魔，依舊不可輕敵啊！							
