难度	关卡	基础	额外	空行
1	77	{{-3,4,8600},{-6,4,100},}		
1	78	{{-3,4,8700},{-6,4,100},}		
1	79	{{-3,4,8800},{-6,4,100},}		
1	80	{{-3,4,8900},{-6,4,100},}	{{-6,4,8000},{51,4,3},}	
2	1	{{-3,4,1200},{-6,4,120},}		
2	2	{{-3,4,1320},{-6,4,120},}		
2	3	{{-3,4,1440},{-6,4,120},}		
2	4	{{-3,4,1560},{-6,4,120},}		
2	5	{{-3,4,1680},{-6,4,120},}	{{44,4,10},{51,4,1},}	
2	6	{{-3,4,1800},{-6,4,120},}		
2	7	{{-3,4,1920},{-6,4,120},}		
2	8	{{-3,4,2040},{-6,4,120},}		
2	9	{{-3,4,2160},{-6,4,120},}		
2	10	{{-3,4,2280},{-6,4,120},}	{{-6,4,1000},{51,4,1},}	
2	11	{{-3,4,2400},{-6,4,120},}		
2	12	{{-3,4,2520},{-6,4,120},}		
2	13	{{-3,4,2640},{-6,4,120},}		
2	14	{{-3,4,2760},{-6,4,120},}		
2	15	{{-3,4,2880},{-6,4,120},}	{{43,4,20},{51,4,1},}	
2	16	{{-3,4,3000},{-6,4,120},}		
2	17	{{-3,4,3120},{-6,4,120},}		
2	18	{{-3,4,3240},{-6,4,120},}		
2	19	{{-3,4,3360},{-6,4,120},}		
2	20	{{-3,4,3480},{-6,4,120},}	{{-6,4,2000},{51,4,1},}	
2	21	{{-3,4,3600},{-6,4,120},}		
2	22	{{-3,4,3720},{-6,4,120},}		
2	23	{{-3,4,3840},{-6,4,120},}		
2	24	{{-3,4,3960},{-6,4,120},}		
2	25	{{-3,4,4080},{-6,4,120},}	{{4,4,10},{51,4,1},}	
2	26	{{-3,4,4200},{-6,4,120},}		
2	27	{{-3,4,4320},{-6,4,120},}		
2	28	{{-3,4,4440},{-6,4,120},}		
2	29	{{-3,4,4560},{-6,4,120},}		
2	30	{{-3,4,4680},{-6,4,120},}	{{-6,4,3000},{51,4,1},}	
2	31	{{-3,4,4800},{-6,4,120},}		
2	32	{{-3,4,4920},{-6,4,120},}		
2	33	{{-3,4,5040},{-6,4,120},}		
2	34	{{-3,4,5160},{-6,4,120},}		
2	35	{{-3,4,5280},{-6,4,120},}	{{40,4,5},{51,4,1},}	
2	36	{{-3,4,5400},{-6,4,120},}		
2	37	{{-3,4,5520},{-6,4,120},}		
2	38	{{-3,4,5640},{-6,4,120},}		
2	39	{{-3,4,5760},{-6,4,120},}		
2	40	{{-3,4,5880},{-6,4,120},}	{{-6,4,4000},{51,4,2},}	
2	41	{{-3,4,6000},{-6,4,120},}		
2	42	{{-3,4,6120},{-6,4,120},}		
2	43	{{-3,4,6240},{-6,4,120},}		
2	44	{{-3,4,6360},{-6,4,120},}		
2	45	{{-3,4,6480},{-6,4,120},}	{{44,4,10},{51,4,2},}	
2	46	{{-3,4,6600},{-6,4,120},}		
2	47	{{-3,4,6720},{-6,4,120},}		
2	48	{{-3,4,6840},{-6,4,120},}		
2	49	{{-3,4,6960},{-6,4,120},}		
2	50	{{-3,4,7080},{-6,4,120},}	{{-6,4,5000},{51,4,2},}	
2	51	{{-3,4,7200},{-6,4,120},}		
2	52	{{-3,4,7320},{-6,4,120},}		
2	53	{{-3,4,7440},{-6,4,120},}		
2	54	{{-3,4,7560},{-6,4,120},}		
2	55	{{-3,4,7680},{-6,4,120},}	{{43,4,30},{51,4,2},}	
2	56	{{-3,4,7800},{-6,4,120},}		
2	57	{{-3,4,7920},{-6,4,120},}		
2	58	{{-3,4,8040},{-6,4,120},}		
2	59	{{-3,4,8160},{-6,4,120},}		
2	60	{{-3,4,8280},{-6,4,120},}	{{-6,4,6000},{51,4,2},}	
2	61	{{-3,4,8400},{-6,4,120},}		
2	62	{{-3,4,8520},{-6,4,120},}		
2	63	{{-3,4,8640},{-6,4,120},}		
2	64	{{-3,4,8760},{-6,4,120},}		
2	65	{{-3,4,8880},{-6,4,120},}	{{4,4,20},{51,4,2},}	
2	66	{{-3,4,9000},{-6,4,120},}		
2	67	{{-3,4,9120},{-6,4,120},}		
2	68	{{-3,4,9240},{-6,4,120},}		
2	69	{{-3,4,9360},{-6,4,120},}		
2	70	{{-3,4,9480},{-6,4,120},}	{{-6,4,7000},{51,4,2},}	
2	71	{{-3,4,9600},{-6,4,120},}		
2	72	{{-3,4,9720},{-6,4,120},}		
2	73	{{-3,4,9840},{-6,4,120},}		
2	74	{{-3,4,9960},{-6,4,120},}		
2	75	{{-3,4,10080},{-6,4,120},}	{{40,4,10},{51,4,2},}	
2	76	{{-3,4,10200},{-6,4,120},}		
2	77	{{-3,4,10320},{-6,4,120},}		
2	78	{{-3,4,10440},{-6,4,120},}		
2	79	{{-3,4,10560},{-6,4,120},}		
2	80	{{-3,4,10680},{-6,4,120},}	{{-6,4,8000},{51,4,3},}	
3	1	{{-3,4,1500},{-6,4,150},}		
3	2	{{-3,4,1650},{-6,4,150},}		
3	3	{{-3,4,1800},{-6,4,150},}		
3	4	{{-3,4,1950},{-6,4,150},}		
3	5	{{-3,4,2100},{-6,4,150},}	{{44,4,10},{51,4,1},}	
3	6	{{-3,4,2250},{-6,4,150},}		
3	7	{{-3,4,2400},{-6,4,150},}		
3	8	{{-3,4,2550},{-6,4,150},}		
3	9	{{-3,4,2700},{-6,4,150},}		
3	10	{{-3,4,2850},{-6,4,150},}	{{-6,4,1000},{51,4,1},}	
3	11	{{-3,4,3000},{-6,4,150},}		
3	12	{{-3,4,3150},{-6,4,150},}		
3	13	{{-3,4,3300},{-6,4,150},}		
3	14	{{-3,4,3450},{-6,4,150},}		
3	15	{{-3,4,3600},{-6,4,150},}	{{43,4,20},{51,4,1},}	
3	16	{{-3,4,3750},{-6,4,150},}		
3	17	{{-3,4,3900},{-6,4,150},}		
3	18	{{-3,4,4050},{-6,4,150},}		
3	19	{{-3,4,4200},{-6,4,150},}		
3	20	{{-3,4,4350},{-6,4,150},}	{{-6,4,2000},{51,4,1},}	
3	21	{{-3,4,4500},{-6,4,150},}		
3	22	{{-3,4,4650},{-6,4,150},}		
3	23	{{-3,4,4800},{-6,4,150},}		
3	24	{{-3,4,4950},{-6,4,150},}		
3	25	{{-3,4,5100},{-6,4,150},}	{{4,4,10},{51,4,1},}	
3	26	{{-3,4,5250},{-6,4,150},}		
3	27	{{-3,4,5400},{-6,4,150},}		
3	28	{{-3,4,5550},{-6,4,150},}		
3	29	{{-3,4,5700},{-6,4,150},}		
3	30	{{-3,4,5850},{-6,4,150},}	{{-6,4,3000},{51,4,1},}	
3	31	{{-3,4,6000},{-6,4,150},}		
3	32	{{-3,4,6150},{-6,4,150},}		
3	33	{{-3,4,6300},{-6,4,150},}		
3	34	{{-3,4,6450},{-6,4,150},}		
3	35	{{-3,4,6600},{-6,4,150},}	{{40,4,5},{51,4,1},}	
3	36	{{-3,4,6750},{-6,4,150},}		
3	37	{{-3,4,6900},{-6,4,150},}		
3	38	{{-3,4,7050},{-6,4,150},}		
3	39	{{-3,4,7200},{-6,4,150},}		
3	40	{{-3,4,7350},{-6,4,150},}	{{-6,4,4000},{51,4,2},}	
3	41	{{-3,4,7500},{-6,4,150},}		
3	42	{{-3,4,7650},{-6,4,150},}		
3	43	{{-3,4,7800},{-6,4,150},}		
3	44	{{-3,4,7950},{-6,4,150},}		
3	45	{{-3,4,8100},{-6,4,150},}	{{44,4,10},{51,4,2},}	
3	46	{{-3,4,8250},{-6,4,150},}		
3	47	{{-3,4,8400},{-6,4,150},}		
3	48	{{-3,4,8550},{-6,4,150},}		
3	49	{{-3,4,8700},{-6,4,150},}		
3	50	{{-3,4,8850},{-6,4,150},}	{{-6,4,5000},{51,4,2},}	
3	51	{{-3,4,9000},{-6,4,150},}		
3	52	{{-3,4,9150},{-6,4,150},}		
3	53	{{-3,4,9300},{-6,4,150},}		
3	54	{{-3,4,9450},{-6,4,150},}		
3	55	{{-3,4,9600},{-6,4,150},}	{{43,4,30},{51,4,2},}	
3	56	{{-3,4,9750},{-6,4,150},}		
3	57	{{-3,4,9900},{-6,4,150},}		
3	58	{{-3,4,10050},{-6,4,150},}		
3	59	{{-3,4,10200},{-6,4,150},}		
3	60	{{-3,4,10350},{-6,4,150},}	{{-6,4,6000},{51,4,2},}	
3	61	{{-3,4,10500},{-6,4,150},}		
3	62	{{-3,4,10650},{-6,4,150},}		
3	63	{{-3,4,10800},{-6,4,150},}		
3	64	{{-3,4,10950},{-6,4,150},}		
3	65	{{-3,4,11100},{-6,4,150},}	{{4,4,20},{51,4,2},}	
3	66	{{-3,4,11250},{-6,4,150},}		
3	67	{{-3,4,11400},{-6,4,150},}		
3	68	{{-3,4,11550},{-6,4,150},}		
3	69	{{-3,4,11700},{-6,4,150},}		
3	70	{{-3,4,11850},{-6,4,150},}	{{-6,4,7000},{51,4,2},}	
3	71	{{-3,4,12000},{-6,4,150},}		
3	72	{{-3,4,12150},{-6,4,150},}		
3	73	{{-3,4,12300},{-6,4,150},}		
3	74	{{-3,4,12450},{-6,4,150},}		
3	75	{{-3,4,12600},{-6,4,150},}	{{40,4,10},{51,4,2},}	
3	76	{{-3,4,12750},{-6,4,150},}		
3	77	{{-3,4,12900},{-6,4,150},}		
3	78	{{-3,4,13050},{-6,4,150},}		
3	79	{{-3,4,13200},{-6,4,150},}		
3	80	{{-3,4,13350},{-6,4,150},}	{{-6,4,8000},{51,4,3},}	
