ID	品质	道具名称	使用脚本	使用标识	道具描述	icon图标ID	使用限制	每日使用次数	使用等级限制	关卡ID1	关卡ID2	关卡ID3	关卡ID4	描述1	类型	卖出价格	空行
12	0	柘木長弓	0	0	柘木及其珍貴，但用其製成長弓，是獵野豬，射小鳥的最佳選擇。短弓兵升階長弓兵專用。	property_12.png	0	0	0	0	0	0	0	1-7章普通和精英關卡掉落	1	100	
13	0	狐裘襖	0	0	價格昂貴，有錢人才穿得起，有良好保暖效果的皮襖。短弓兵升階長弓兵專用。	property_13.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
14	0	碧紋頭帶	0	0	算命的用青色的泥抹過的頭帶，傳言說能驅邪避鬼。短弓兵升階長弓兵專用。	property_14.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
15	0	青龍刀	0	0	鐵牛製成青龍偃月刀成名後，開始批量生產青龍刀給偃月刀的愛慕者。刀盾兵升階白眊兵專用。	property_15.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
16	0	仁王盾	0	0	紅白相間的盾牌，看起來很厚，其實只能裝裝樣子。刀盾兵升階白眊兵專用。	property_16.png	0	0	0	0	0	0	0	8-19章普通和精英關卡掉落	1	500	
17	0	金絲鐵甲	0	0	閃閃發光的戰甲，讓敵人不敢直視，從而獲得進攻的先機。刀盾兵升階白眊兵專用。	property_17.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
18	0	龍紋指環	0	0	純金打造，童叟無欺，只要戴著就可以體力大增的神奇指環。刀盾兵升階白眊兵專用。	property_18.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
19	0	諸葛連弩	0	0	諸葛亮親手打造的兵器，哪怕是文人，兒童拿在手裏也是極具殺傷力。長弓兵升階元戎弩專用。	property_19.png	0	0	0	0	0	0	0	8-19章普通和精英關卡掉落	1	500	
20	0	燕羽青衫	0	0	一襲青色，輕若鴻毛，穿著這衣服讓人身輕如燕。長弓兵升階元戎弩專用。	property_20.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
21	0	柳葉鞋	0	0	穿著就好像沒穿一樣，毫無重量，柳葉形狀的布鞋，弓箭手的最愛。長弓兵升階元戎弩專用。	property_21.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
22	0	青皮頭飾	0	0	墨綠的寶石鑲嵌其中，散發著淡淡的幽光，注視久了，會有一種要把人吸進去的感覺。長弓兵升階元戎弩專用。	property_22.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
23	0	雙刃鬼斧	0	0	原有板斧的基礎上經過加工改造而成的雙刃鬼斧，可以劈開巨石，威力驚人。突騎兵升階虎豹騎專用。	property_23.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
24	0	烏金軟甲	0	0	烏黑色且泛有金光，堅硬如鐵，精銳部隊才有資格擁有的高級戰甲。突騎兵升階虎豹騎專用。	property_24.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
25	0	西涼良駒	0	0	西涼才有的良馬，不過脾氣很大，動不動就一腳把人踹翻。突騎兵升階虎豹騎專用。	property_25.png	0	0	0	0	0	0	0	8-19章普通和精英關卡掉落	1	500	
26	0	虎牙獸環	0	0	獵殺猛虎是進入虎豹騎的終極考驗，經過考驗的人會拔下虎牙做成獸環紀念。突騎兵升階虎豹騎專用。	property_26.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
27	0	踏燕鞋	0	0	布鞋上有刺有一只華麗的飛燕，給人感覺穿上就可以身輕如燕。短弓兵升階長弓兵專用。	property_27.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
28	0	青銅盾	0	0	時還可以當鏡子用，戰時可以用來抵擋攻擊的最常見的盾牌。短刀兵升階刀盾兵專用。	property_28.png	0	0	0	0	0	0	0	1-7章普通和精英關卡掉落	1	100	
29	0	烏孫	0	0	久經沙場的老馬，雖然膂力不足，卻具備豐富的作戰經驗。輕騎兵升階突騎兵專用。	property_29.png	0	0	0	0	0	0	0	1-7章普通和精英關卡掉落	1	100	
30	0	體力丹	9	2	增加50點體力	property_3.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
31	0	金寶箱	4	3	收集越多，人品越高，易爆出更強力的四五星武將，後期必出優質五星	property_31.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
32	0	銀寶箱	5	3	收集越多，人品越高，易爆出更強力的三四五星武將。	property_32.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
33	0	卡	6	4	充值即可得250元寶，另每天100元寶，120體力，護軍教頭x3	property_3.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
34	0	改名卡	7	5	使用後可以修改名字	property_30.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
35	0	小喇叭	8	6	玩家可以在遊戲跑馬燈通知中發佈資訊並連續播放三次	property_33.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
36	0	白寶箱	14	3	可以開出白色或者綠色裝備	property_36.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
37	0	藍寶箱	15	3	開啓寶箱將隨機獲得藍色品質裝備一件，一定概率獲得高強藍色裝備，極低概率出現紫色裝備	property_37.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
38	0	紫寶箱	16	3	開啓寶箱將隨機獲得紫色品質裝備一件，極低概率出現紅色裝備	property_38.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
39	0	白銀寶箱	10	3	可以開出金幣、戰魂、刷新道具	property_39.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
40	0	碎片寶箱	12	3	可以開出卡片碎片	property_40.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
41	0	神秘寶箱	13	3	可以開出裝備寶箱	property_41.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
42	0	元寶寶箱	11	3	可以開出元寶	property_42.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
43	0	掃蕩令	9	0	可以掃蕩關卡	property_43.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
44	0	刷新令	10	0	可以刷新商店物品	property_44.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
45	0	特殊白寶箱	17	3	可以開出白色武器	property_36.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
-5	0	武魂			武將進階所需的必須品	property_soul.png	0	0	0	0	0	0	0				
46	0	橙寶箱	18	3	開啓寶箱將隨機獲得橙色裝備一件，橙色裝備屬性太過逆天，切勿隨便使用。	property_45.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
47	0	一級強化石	0	0	能夠強化紫色裝備的神奇石頭，公會副本和第5章精英關卡開始掉落	property_46.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
48	0	二級強化石	0	0	能夠強化紅色裝備的神奇石頭，公會副本和第5章精英關卡開始掉落	property_47.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	2000	
49	0	三級強化石	0	0	能夠強化橙色裝備的神奇石頭，公會副本和工會副本和15章精英關卡開始掉落	property_48.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	3000	
50	0	融合水晶	0	0	能夠將裝備提升一個品級的石頭，裝備合成需要消耗的材料，工會副本掉落	property_49.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	10000	
51	0	洗練神石	0	0	能夠洗練裝備附加屬性的神奇石頭，裝備洗練時消耗，血戰20關開始掉落	property_50.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	5000	
52	0	貂蟬(幻)卡包	20	3	可以開出23張貂蟬(幻)	property_51.png	0	0	0	0	0	0	0				
53	0	祝融(幻)卡包	20	3	可以開出23張祝融(幻)	property_51.png	0	0	0	0	0	0	0				
54	0	小喬(幻)卡包	20	3	可以開出23張小喬(幻)	property_51.png	0	0	0	0	0	0	0				
55	0	張飛(幻)卡包	20	3	可以開出23張張飛(幻)	property_51.png	0	0	0	0	0	0	0				
56	0	孫尚香(幻)卡包	20	3	可以開出23張孫尚香(幻)	property_51.png	0	0	0	0	0	0	0				
57	0	劉備(幻)卡包	20	3	可以開出23張劉備(幻)	property_51.png	0	0	0	0	0	0	0				
58	0	諸葛亮(幻)卡包	20	3	可以開出23張諸葛亮(幻)	property_51.png	0	0	0	0	0	0	0				
59	0	呂玲綺(幻)卡包	20	3	可以開出23張呂玲綺(幻)	property_51.png	0	0	0	0	0	0	0				
60	0	夏侯惇(幻)卡包	20	3	可以開出23張夏侯惇(幻)	property_51.png	0	0	0	0	0	0	0				
61	0	甄姬(幻)卡包	20	3	可以開出23張甄姬(幻)	property_51.png	0	0	0	0	0	0	0				
62	0	蔡文姬(幻)卡包	20	3	可以開出23張蔡文姬(幻)	property_51.png	0	0	0	0	0	0	0				
63	0	周瑜(幻)卡包	20	3	可以開出23張周瑜(幻)	property_51.png	0	0	0	0	0	0	0				
64	0	張遼(幻)卡包	20	3	可以開出23張張遼(幻)	property_51.png	0	0	0	0	0	0	0				
65	0	關羽(幻)卡包	20	3	可以開出23張關羽(幻)	property_51.png	0	0	0	0	0	0	0				
66	0	曹操(幻)卡包	20	3	可以開出23張曹操(幻)	property_51.png	0	0	0	0	0	0	0				
67	0	趙雲(幻)卡包	20	3	可以開出23張趙雲(幻)	property_51.png	0	0	0	0	0	0	0				
68	0	呂布(幻)卡包	20	3	可以開出23張呂布(幻)	property_51.png	0	0	0	0	0	0	0				
69	0	孫權(幻)卡包	20	3	可以開出23張孫權(幻)	property_51.png	0	0	0	0	0	0	0				
70	0	1級轉化丹	0	0	增加10%經驗轉換率和提升10%進階武魂和金幣返還比值	property_52.png	0	0	0	0	0	0	0	普通商店購買	2	10000	
71	0	2級轉化丹	0	0	增加20%經驗轉換率和提升20%進階武魂和金幣返還比值	property_53.png	0	0	0	0	0	0	0	VIP7商店購買	2	20000	
72	0	3級轉化丹	0	0	增加30%經驗轉換率和提升30%進階武魂和金幣返還比值	property_54.png	0	0	0	0	0	0	0	VIP7商店購買	2	30000	
73	0	1級經驗卡	0	7	使用此卡可以增加5000經驗	property_57.png	0	0	0	0	0	0	0				
74	0	2級經驗卡	0	7	使用此卡可以增加10000經驗	property_58.png	0	0	0	0	0	0	0				
75	0	3級經驗卡	0	7	使用此卡可以增加20000經驗	property_59.png	0	0	0	0	0	0	0				
76	0	4級經驗卡	0	7	使用此卡可以增加50000經驗	property_60.png	0	0	0	0	0	0	0				
77	0	5級經驗卡	0	7	使用此卡可以增加100000經驗	property_61.png	0	0	0	0	0	0	0				
78	0	紅寶箱	21	3	必然開出紅色裝備	property_62.png	0	0	0	0	0	0	0	聖•郭嘉(現)		10000	
79	0	招募令	0	0	能夠招募到武將的神奇令牌	property_63.png	0	0	0	0	0	0	0	聖•郭嘉(現)		10000	
80	0	神碎片寶箱	27	3	可以開出超級神將卡片碎片	cjspcp001.png	0	0	0	0	0	0	0	聖•郭嘉(現)		1000	
81	0	1階魂器	22	3	可以開出綠色將魂的初級道具	hulu_001.png	0	0	0	0	0	0	0				
82	0	2階魂器	23	3	可以開出藍色將魂的中級道具	hulu_002.png	0	0	0	0	0	0	0				
83	0	3階魂器	24	3	可以開出紫色將魂的高級道具	hulu_003.png	0	0	0	0	0	0	0				
84	0	4階魂器	25	3	可以開出紅色將魂的傳說道具	hulu_004.png	0	0	0	0	0	0	0				
85	0	5階魂器	26	3	可以開出橙色將魂的史詩道具	hulu_005.png	0	0	0	0	0	0	0				
86	0	傳說寶箱	28	3	開啓寶箱將隨機獲得紅色帝王裝備，帝王裝備擁有最高成長屬性(可進階爲最強橙色王者裝備)。	dwbxcp001.png	0	0	0	0	0	0	0	特殊獎勵			
